fish_id,qPCR_screened,sample_type,pre_post,date_capture,hold_id,tank,focal,sequenced,fate,date_necropsy,days_in_study,lesions_post,fork_length_cm_post,girth_cm_post,sex,stock_origin,fl_psy_copy,mo_vis_copy,pisck_sal_copy,re_sal_copy,rlo_copy,te_dic,te_fin,te_mar,vi_sal,te_dic_detect,te_mar_detect
59816,N,NA,NA,2022-08-24,Aug23,20,N,N,end_hold,2022-09-05,12,0,67,38,male,ROBERTSON_CREEK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59818,N,NA,NA,2022-08-23,Aug23,21,N,N,end_hold,2022-09-05,13,0,71,43,male,ROBERTSON_CREEK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59825,N,NA,NA,2022-08-24,Aug23,19,N,N,end_hold,2022-09-05,12,0,65,38,male,NITINAT_RIVER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59827,N,NA,NA,2022-08-25,Aug23,21,N,N,end_hold,2022-09-05,11,0,63,37,male,ROBERTSON_CREEK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59829,N,NA,NA,2022-08-24,Aug23,18,N,N,end_hold,2022-09-05,12,0,74,42,male,ROBERTSON_CREEK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59831,N,NA,NA,2022-08-25,Aug23,20,N,N,end_hold,2022-09-05,11,0,40,20,male,NOOKSACK_RIVER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59835,N,NA,NA,2022-08-26,Aug23,21,N,N,end_hold,2022-09-05,10,0,69,40,male,ROBERTSON_CREEK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59846,N,NA,NA,2022-08-25,Aug23,18,N,N,end_hold,2022-09-05,11,0,80,44,male,ROBERTSON_CREEK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59861,N,NA,NA,2022-08-25,Aug23,19,N,N,end_hold,2022-09-05,11,0,64,34,male,ROBERTSON_CREEK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59870,N,NA,NA,2022-08-26,Aug23,20,N,N,end_hold,2022-09-05,10,0,68,41,male,ROBERTSON_CREEK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59910,N,NA,NA,2022-08-25,Aug23,20,N,N,end_hold,2022-09-05,11,0,62,32,male,SOOS_CREEK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59922,N,NA,NA,2022-08-25,Aug23,19,N,N,end_hold,2022-09-05,11,0,75,47,male,THORNTON_CREEK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59925,N,NA,NA,2022-08-25,Aug23,21,N,N,end_hold,2022-09-05,11,0,83,48,female,ROBERTSON_CREEK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
